Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
1017	0.251463	0.527483	4.579234	3.098232	0.166010	0.049723
1019	0.250057	0.542829	4.592919	3.091200	0.152278	0.037793
1028	0.274300	0.548142	4.609266	3.085903	0.138437	0.054340
1031	0.284469	0.560079	4.606907	3.100613	0.124204	0.055640
1033	0.286631	0.539220	4.621039	3.080151	0.129980	0.037357
1035	0.269187	0.546530	4.623364	3.088764	0.106313	0.046477
1039	0.280149	0.526788	4.629433	3.067373	0.094095	0.040097
1043	0.286337	0.514260	4.642283	3.080217	0.099571	0.044245
1044	0.275379	0.497220	4.659141	3.071477	0.123329	0.045346
1045	0.279999	0.475205	4.652845	3.075759	0.133817	0.036023
1048	0.297384	0.465463	4.667620	3.095337	0.145235	0.028491
1049	0.293708	0.457731	4.670861	3.112695	0.154334	0.045277
1056	0.288124	0.480995	4.662884	3.137336	0.133527	0.038987
1057	0.303203	0.488524	4.676254	3.162136	0.112541	0.039433
